#,...,Please enter your *Prolific ID*,Game Understanding Quiz: Question 1,Game Understanding Quiz: Question 2,Game Understanding Quiz: Question 3,Game Understanding Quiz: Question 4,Counterfactual Quiz: Question 1 ,Counterfactual Quiz: Question 2,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,DOWN,UP,RIGHT,LEFT,CHOP,SHOOT,Agent A,Agent B,I don't know,Agent A,Agent B,I don't know,Explanations helped me understand the agent's behavior.,Explanations of how the agents operate are satisfying.,Explanations are sufficiently detailed.,Explanations are sufficiently complete.,"Explanations are actionable, that is, help me know how to use the agent.",Explanations let me know how reliable the agent is.,Explanations let me know how trustworthy agent is.,Start Date (UTC),Submit Date (UTC),Network ID,Tags
gsz4jrj0mzo5qx3wuiu0dgsz4jrj04fu,1,5e5521580ee1b951df544c3c,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,,RIGHT,,,,DOWN,,,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,,,I don't know,2,2,2,2,3,2,2,2023-09-21 10:01:42,2023-09-21 10:13:46,6797b2ce32,
fjjq81nzkkd746fjjqg63kdnrnsyn6ue,1,5f75d01a857e4e27a575f7ca,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,,RIGHT,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,Agent A,,,2,2,1,2,2,3,2,2023-09-21 10:00:49,2023-09-21 10:12:58,35db02ac40,
cufshg6nf5c41f18af4ucufshincgfb0,1,60151380a2273d594f63aae3,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,,,,,SHOOT,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,Agent A,,,4,4,4,3,3,3,3,2023-09-21 10:00:53,2023-09-21 10:11:55,fa212530e3,
upwyctek1d4m9ocq3fupwyuy2rzx1wya,1,62b182ba39468032223841bb,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,,RIGHT,,,,DOWN,,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,DOWN,,,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,,,I don't know,Agent A,,,3,2,2,2,3,3,4,2023-09-21 10:01:35,2023-09-21 10:11:50,9c26dc67cc,
0qm9dtdjpp9b7tgax93vb70qm9dtdj3s,1,6399d599c9d83e0ed0317ea2,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,UP,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,Agent A,,,4,4,4,4,5,5,5,2023-09-21 10:00:47,2023-09-21 10:10:37,25ecddeeae,
mzall1cka2x3iz7nklrehxmzallu836y,1,,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,,,CHOP,,,UP,,,,,,,,,CHOP,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,,,CHOP,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,,Agent B,,4,4,3,4,3,4,3,2023-09-21 10:00:59,2023-09-21 10:08:23,e0df428ecf,
nohyxxeccb6vk35nohy7v6cvm58q1whi,1,60743e408fd768b1a939ed4c,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,UP,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,,Agent B,,3,3,4,3,4,3,3,2023-09-21 10:00:43,2023-09-21 10:08:17,1160a096b4,
1jeloqrhmfhl1n2m2ht1jellpkqk577y,1,5c0244a7d183df000141f793,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,,,CHOP,,,UP,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,,,,CHOP,,,UP,,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,Agent A,,,4,4,2,2,3,2,2,2023-09-21 10:00:39,2023-09-21 10:07:12,5313ac95aa,
37xqdl2lsrcm0ewailvcg37xqdlest03,1,614bbeb72b50ece145ad86ee,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,,,LEFT,,,,UP,,,,,,,,LEFT,,,,,RIGHT,,,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,,Agent B,,4,4,4,4,4,4,4,2023-09-21 09:27:51,2023-09-21 09:48:18,3746554331,
mafhmsnqxw7um1pn7mafhmntaxx4qsiu,1,59d3bc2147f4e80001a6c559,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,Agent A,,,,Agent B,,3,3,2,2,3,3,4,2023-09-21 09:21:10,2023-09-21 09:37:05,52fcb72185,
851zzya1bxvlp31851z0u1x0cfcoxcr6,1,644cdccb8f8868457b7898e0,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,UP,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,UP,,,,,,UP,,,,,,UP,,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,,,I don't know,,,I don't know,1,1,1,1,5,1,1,2023-09-21 09:20:33,2023-09-21 09:36:59,d097380e6a,
t14f2milhanntcj52nqpat14f2kkr099,1,63d833da4045d7cc47556837,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,,,CHOP,,,,RIGHT,,,,DOWN,,,,,,,,,,CHOP,,,,RIGHT,,,,,UP,,,,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,CHOP,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,Agent A,,,Agent A,,,3,2,5,5,4,3,3,2023-09-21 09:20:27,2023-09-21 09:36:57,74647a054c,
y0axzbogpviipkfzmky0axkspn3j7ui5,1,58106d17a513590001b1ec9e,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,,,CHOP,,,,RIGHT,,,,,,,,CHOP,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,,,,SHOOT,,,,,,SHOOT,Agent A,,,,,I don't know,2,2,2,2,3,3,3,2023-09-21 09:19:45,2023-09-21 09:36:48,ddd16c47fa,
5y8wxr2uu138ap95y8wxu15a3wdo5isb,1,5c41e9263be7b70001fcf4ab,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,UP,,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,CHOP,,,,,LEFT,,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,Agent A,,,Agent A,,,2,3,2,3,2,,4,2023-09-21 09:25:36,2023-09-21 09:36:44,c2d50a705d,
3emlo9npadkijdl2vrht3emlo9nriryx,1,6169ea2f9163a46bf5f356e2,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,,RIGHT,,,,DOWN,,,,,,,,,,CHOP,,,,RIGHT,,,,,,RIGHT,,,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,,,CHOP,,DOWN,,,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,Agent A,,,4,3,4,4,4,3,4,2023-09-21 09:20:08,2023-09-21 09:34:51,0c651ac651,
8v7ud1z1ku0fkmxbov509f8v7ud17685,1,5e64f63fe8177d2669776c08,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,CHOP,,,,,LEFT,,,,,,,CHOP,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,,Agent B,,2,2,1,1,2,1,1,2023-09-21 09:20:15,2023-09-21 09:32:43,7585e0a218,
xeu8ie5af6ukdjuxeu8ihdsnq3d2zcim,1,60912235ed49c4bb642635eb,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,,RIGHT,,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,UP,,,,,,,RIGHT,,,,,,,,,SHOOT,,Agent B,,,Agent B,,4,4,3,3,4,2,2,2023-09-21 09:19:28,2023-09-21 09:32:12,c6c0a8b9d5,
kjbtpwiz57533rdmrbkjr4reqfcptcba,1,63ea43416ae63a1b1cf8b810,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,DOWN,,,,,,,,,,,SHOOT,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,CHOP,,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,,,CHOP,,,,,,CHOP,,,,,,CHOP,,Agent A,,,,Agent B,,4,4,3,4,3,4,5,2023-09-21 09:20:11,2023-09-21 09:31:22,394915b96a,
sd1qr1jpfenu6ylrtxq91wsd1qr1nk9r,1,58945874b5496d00018cfe1c,FALSE,WALL,TRUE,TRUE,The original state that the agent saw.,How the original state can be modified to change the decision of the AI agent.,,,,,,SHOOT,,,RIGHT,,,,,,,LEFT,,,DOWN,,,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,,CHOP,,,,,,,SHOOT,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,,,RIGHT,,,,,,RIGHT,,,,,,,,,SHOOT,,,,,,SHOOT,,,,LEFT,,,DOWN,,,,,,,,RIGHT,,,,,,,,,SHOOT,,,I don't know,,,I don't know,3,3,2,1,1,1,1,2023-09-21 09:24:37,2023-09-21 09:30:59,1f3d4dcdcd,
